Extractor;Identifier;Title;Venue;Year;Exclude;SR;SD;SC;ST;SM;SCM;SEM;SEP;SEMM;SQ;SEPP;SEE;CF;MF;EF;Theory;Cognitive Concepts;Cognitive Measures;Assessment;Added Value of Cognitive Aspect;Academia;Industry;Solution Proposal (example);Empirical Study;Experience Papers;Philosophical Papers;Opinion Papers;"Outcome
Contribution





";;Attention;Selective attention;Divided attention;Sustained attention;Memory;Working memory;Short-term memory;Long-term memory;Cognitive load;Intrinsic CL;Extrinsic CL;Emotion;Motivation;Intrinsic motivation;Extrinsic motivation;Stress;Reward;Appr. avoid. motiv.;Arousal;Attitude;Perception;Problem solving;Reasoning;Decision making;Errors;Cognitive biases;Knowledge;Explicit knowledge;Tacit knowledge;Techn. tacit knowl.;Cogn. tacit knowl.;Cognitive control;Executive functions;Inhibition;;Qualit. measures;Fieldwork;Interview;Task-based;Open observation;Quantit. measures;Task performance;Physiological meas.;Subjective ratings;Behavioral meas.
Michael U.;Calikli2010;An Analysis of the Effects of Company Culture, Education and Experience on Confirmation Bias Levels of Software Developers and Testers;32nd International Conference on Software Engineering - ICSE 2010;2010;;;;;1;;;;;;;;;;;;;Cognitive biases, in particular confirmation bias;Task performance;Wason's rule discorvery task and selection task (answered in a questionnaire);Central to the paper;1;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Michael F.;Calikli2010b;Preliminary analysis of the effects of confirmation bias on software defect density;ESEM 2010 - Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement;2010;;;;;;;;;;;1;;;;;;;Confirmation Bias;;Test based on Wason Selection Task and Wason Rule Discovery Task;Understanding of confirmation bias leading to issue that defects are overlooked and defect density increases;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Michael U.;Calikli2010c;Empirical analyses factors affecting confirmation bias and the effects of confirmation bias on software developer/tester performance;5th International Workshop on Predictor Models in Software Engineering;2010;;;;;1;;;;;;;;;;;;;Cognitive biases, in particular confirmation bias;Task performance;Wason's rule discorvery task and selection task (answered in a questionnaire);Central to the paper;1;1;;1;;;;Extension to Calikli2010, adding an analysis of the impact of confirmation bias on development and testing performance;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Michael F.;Calikli2012;Modeling human aspects to enhance software quality management;International Conference on Information Systems, ICIS 2012;2012;;;;;;;;;;;1;;;;;;;Cognitive Biases;;;enhance software quality management, especially defect prediction, by cognitive bias measurement;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Michael U.;Calikli2013; Influence of Confirmation Biases of Developers on Software Quality: An Empirical Study; Software Quality Journal;2013;;;;;1;;;;;;;;;;;;;Cognitive biases, in particular confirmation bias;Task performance;Wason's rule discorvery task and selection task (answered in a questionnaire);Central to the paper;;1;;1;;;;This seems to be the most comprehensive paper in the series by Calikli on confirmation bias in testing. The metrics (25) to quantify confirmation bias, based on the tasks, are described here in detail. Use this paper to get details. The goal of the paper is to correlate cognitive bias metrics with defect rate metrics. They compared cognitive bias and static code quality measures as predictors for defects. There was no signitificant difference in prediction performance.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Robert;Calikli2013a;Towards a metric suite proposal to quantify confirmation biases of developers;International Symposium on Empirical Software Engineering and Measurement;2013;;;;;;;;1;1;;;;;;;;Wason's theories around selection and rule discovery;Confirmation bias;Wason's selection task, Wason's rule discovery task;Correlate with prediction and defect densities;Central to approach.;;1;;1;;;;Important work. Confirmation bias connected to defects and performance of groups.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Michael U.;Cant1995;A Conceptual Model of Cognitive Complexity of Elements of the Programming Process;Information and Software Technology;1995;;;;1;;;;;;;;;;;;;;Cognitive complexity and cognitive processes involved in reading and searching code (chunking and tracing) for program comprehension. Chunking is essentially enabled by memory and tracing is a function of knowledge.;None;None;Central to the paper;;;;;;1;;Cognitive Complexity Model for program comprehension based on chunking and tracing code. The paper suggests measures that ought to capture complexity of code, on the basis of cognitive processes.;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Michael F.;Carod2007;A cognitive psychology approach for balancing elicitation goals;Proceedings of the 6th IEEE International Conference on Cognitive Informatics, ICCI 2007;2007;;1;;;;;;;;;;;;;;;Learning Style Model;"Preferences for the following categories: sensing/intuitive, visual/verbal, active/reflective, sequential/global; preference can be strong, moderate, slight";Index of Learning Styles;Instrument with 44 questions with odd numbers between -11 and 11;Weighting people's evaluation according to their cognitive profiles, the profile is used to associate the cognitive profile and goals;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;
Michael F.;Chilton2005;Person-job cognitive style fit for software developers: The effect on strain and performance;Journal of Management Information Systems;2005;1;;;;;;;;;;;1;;;;;"Cognitive Style
Kirton adaption-innovation inventory (KAI)
Adoption-Innovation Theory";Cognitive Style Abilities;;5-point Likert Scale Questionnaire;cognitive measurement of strain and performance of software developers;;1;;1;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Michael F.;Chiu2014;Applied cognitive psychology in software debugging process to predict software reliability growth;IEEE International Conference on Industrial Engineering and Engineering Management;2014;;;;;1;;;;;;;;;;;;;Cognitive Learning;"Learning Factor
Learning Effect";value assignment on continuous scale;refined reliability growth model;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;
Fabian F.;Chotisarn2013;Forecasting software damage rate from cognitive bias in software requirements gathering and specification process;International Conference on Information Science and Technology, ICIST 2013;2013;;1;;;;;;;;;;;;;;;Cognitive biases;"Cognitive biases:
- Anchoring
- Adjustment
- Availability
- Confirmation";Proxy statements for cognitive biases.;Questionnaire;Central to the paper;;1;;1;;;;Support for the hypothesis that specific cognitive biases (adjustment, confirmation, availability bias) influence the amount of errors in the software.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;
Fabian F.;Chou2011;The factors that affect the performance of open source software development – the perspective of social capital and expertise integration;Information Systems Journal;2011;;;;;;;;;;;;1;;;;;Social captial theory;"Relational captial
Cognitive capital
Structural capital";Measures operationalising the three concepts;Survey with items assessing the three concepts;Provides conceptual framework (theory) for the study;;1;;1;;;;The study examined relationships between relational capital (commitment, reciprocity), cognitive capital (level of expertise, tenure), structural capital (centrality), the level of expertise integration, and output (task completion) and input (team size and effort) moderated by technical complexity and task interdependence. Regarding cognitive capital, the study found that its influence on expertise integration is not significant.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;
Michael F.;Chu2006;Towards evidence-supported, question-directed collaborative program comprehension;Proceedings of the 2006 Conference of the Center for Advanced Studies on Collaborative Research, CASCON '06;2006;;;;1;;;;;;;;;;;;;;Cognitive Comprehension Model, Mental Model;frequency of events;observational study;Link human and technical artifacts;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
Michael F.;Colazo2016;A cognitive load view and empirical test of collaboration network structure versus learning rates in new software development;International Journal of Innovation Management;2016;;;1;;;;;1;;;;;;;;;Cognitive Load Theory;;learning rate;Effort per unit of output as a function of the produced volume;used to explain the learning effect measured by productivity, i.e., number of lines of code written per developer per month;;1;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Robert;Conroy2012;Performance norms: An approach to rework reduction in software development;2012 25th IEEE Canadian Conference on Electrical and Computer Engineering: Vision for a Greener Future, CCECE 2012;2012;;;;;;;;1;;;;;;;;;;Cognitive bias;No, qualitative study;;Not very clear how cognitive concepts affects the actual results. Mostly motivation for the study and its framing.;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Bogdan M.;Corritore1999;Mental Representations of Expert Procedural and Object-Oriented Programmers in a Software Maintenance Task;Journal of Human-Computer Studies;1999;;;;;;1;;;;;;;;;;;theory of program comprehension (Pennington);Mental representations, program comprehension;Balance of domain-specific and programming-specific information in the mental representations participants had of a program at different points in time.;Two sets of yes/no comprehension questions. Counted the number of correct answers.;Central to the paper;1;;;1;;;;OO experts have an initial mental representation that focuses on domain knowledge, while procedural experts have an initial mental representation that includes domain and programming knowledge.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;
Bogdan M.;Cruz-Lemus2009;Assessing the understandability of UML statechart diagrams with composite states—A family of empirical studies;Empirical Software Engineering;2009;;;;;;1;;;;;;;;;;;Cognitive Theory of Multimedia Learning (Mayer 2001);Comprehension;Understandability Effectiveness, Transfer, Retention;Questionnaires;Central to the paper;1;;;1;;;;"using composite states has a negative influence on
the understandability effectiveness (UEffec) of the diagrams,
Otherwise, no effect (suggests effects may be seen for more complex systems/diagrams).";1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;
Bogdan M.;Curtis1979;Measuring the psychological complexity of software maintenance tasks with the Halstead and McCabe metrics;Transactions of Software Engineering;1979;;;;;;1;;;;;;;;;;;;Psychological Complexity;"Reproduce functionally equivalent programs
Accuracy of implemented modification
Time taken";"Functional correctness of each reproduced statement
Comparison against a ""correct"" version (percentage of steps correctly implemented)";Central to the paper;1;;;1;;;;Psychological complexity is difficult to understand from complexity metrics alone and should account for the memory, information processing and problem solving capabilities of programmers.;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
Bogdan M.;Curtis1988;A Field Study of the Software Design Process for Large Systems;Communications of ACM;1988;1;1;1;;;;;;1;;;;;;;;Behavioral model of software development;;;;Unclear. The theory forms the basis for the design of the study and analysis, but the same issues are likely to have emerged without it.;;1;;1;;;;Development of large software systems must be treated, at least in part, as a learning, communication and negotiation process. A number of issues are identified.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;DaCunha2015;Towards a substantive theory of project decisions in software development project-based organizations: A cross-case analysis of IT organizations from Brazil and Portugal;2015 10th Iberian Conference on Information Systems and Technologies, CISTI 2015;2015;;;;;;;;1;;;;1;1;;;;Cognitive biases;"Cognitive biases:
- Anchoring bias
- Exposure effect
- Hindsight bias
- Halo effect
- Planning fallacy
- Sunk-cost fallacy
- Availability-related bias
- Parkinson's law effect";Existence of each of the 8 biases. Elaboration of the occurrence of each of the 8 biases.;Qualitative analysis of interviews.;Central to the study;;1;;1;;;;An exploration of 8 cognitive biases in two organisations. An exploration of actions that were taken to support debiasing in at least one situation within these organisations.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
